Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
AUTHENTICATE,505,9892,1584,32775,48314,86344,1122,105355,0.000%,.28055,0.23,0.28
kbb_cashposition_summary,3922,75924,3192,92295,731800,993388,199,1088166,0.612%,1.79202,3.81,1.84
kbb_txinquiry,860,11526,7531,27805,44584,66644,175,89754,0.000%,.49464,0.96,0.54
faq,2112,8527,995,27303,46621,66997,143,93292,0.426%,1.23111,3.20,1.29
TOTAL,7399,44694,2580,51899,140952,957867,143,1088166,0.446%,3.37045,7.26,3.49
