Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
AUTHENTICATE,1159,8344,7425,15124,17821,24091,396,31499,13.374%,.63896,0.50,0.63
kbb_cashposition_summary,12971,24461,24913,40002,43767,51357,1259,81878,6.168%,7.13217,8.64,7.24
kbb_txinquiry,2717,26418,26817,41360,45357,53539,759,66629,10.931%,1.57126,2.21,1.69
faq,6331,25199,25298,39012,43168,53225,1582,82405,0.000%,3.72097,9.78,3.86
entitlements,706,26762,28093,38100,42752,50993,3951,60268,0.283%,.43418,0.96,0.44
report,2050,27873,28410,40750,44824,58351,3979,166639,6.341%,1.26836,2.92,1.27
TOTAL,25934,24458,24833,39622,43649,52727,396,166639,5.337%,14.20063,23.74,14.55
