AUTHENTICATE,671,378,281,1362,103.23,0.000%,.25175,0.24,0.26,978.9
 GREETING,480,224,181,1002,56.84,0.000%,.18068,0.26,0.18,1475.2
 CREDIT,480,207,156,931,78.73,0.000%,.18070,0.25,0.18,1433.1
 WHAT_IS_MY_BALANCE,477,166,127,1091,77.39,0.000%,.17981,0.20,0.18,1165.0
 CAPABILITY,476,193,128,1257,97.29,0.000%,.17998,0.30,0.18,1684.2
 SHOW_TX,476,172,137,1047,64.53,0.210%,.17998,0.21,0.18,1203.3
 FAQ_1,475,191,142,484,35.27,0.000%,.18077,0.22,0.18,1253.3
 FAQ_2,475,159,133,467,31.73,0.000%,.18077,0.26,0.18,1458.9
TOTAL,4010,219,127,1362,104.80,0.025%,1.50452,1.93,1.53,1314.5
