Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
AUTHENTICATE,3600,450,412,622,722,948,280,1671,0.000%,.99647,0.95,1.04
 GREETING,2577,357,330,484,556,721,233,1014,0.000%,.71320,1.03,0.72
 CREDIT,2568,207,187,278,319,429,150,933,0.000%,.71201,1.00,0.72
 WHAT_IS_MY_BALANCE,2561,165,151,212,239,360,121,786,0.000%,.71162,0.81,0.72
 CAPABILITY,2560,192,175,250,296,508,128,1009,0.000%,.71340,1.17,0.72
 SHOW_TX,2560,172,158,215,249,395,130,855,0.273%,.71341,0.84,0.72
 FAQ_1,2560,205,190,262,307,484,137,1215,0.000%,.71357,0.87,0.73
 FAQ_2,2560,170,154,227,265,354,125,683,0.000%,.71331,1.02,0.72
TOTAL,21546,250,188,432,522,745,121,1671,0.032%,5.95645,7.65,6.06
