Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
AUTHENTICATE,1228,13276,11868,26014,28853,33816,250,43129,15.228%,.67349,0.53,0.66
kbb_cashposition_summary,13610,20959,21033,34695,39003,47365,1209,70177,8.244%,7.49119,9.09,7.59
kbb_txinquiry,2957,21500,21329,33923,37621,47384,298,69041,12.986%,1.70268,2.37,1.83
faq,7076,25683,25920,39765,43919,52840,402,71221,0.000%,4.12173,10.84,4.28
entitlements,792,25173,25479,36495,39800,51399,1454,62515,0.126%,.47620,1.06,0.49
report,2276,24902,24733,37123,41165,51359,1726,61761,6.415%,1.37379,3.11,1.38
TOTAL,27939,22316,22416,36301,40582,49744,250,71221,6.586%,15.32106,25.84,15.68
