Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
AUTHENTICATE,1237,14642,13385,28584,32383,37227,440,57647,15.036%,.67858,0.53,0.67
kbb_cashposition_summary,13392,20922,20960,34467,38712,47197,4,63336,7.766%,7.36587,8.88,7.46
kbb_txinquiry,2907,21642,21601,34378,38454,45484,11,60860,14.207%,1.67390,2.30,1.79
faq,6973,26598,27025,41151,45258,54111,4,71534,0.072%,4.06028,10.67,4.20
entitlements,784,25788,26396,38428,41858,48791,913,60995,0.128%,.47197,1.05,0.48
report,2288,25489,25480,37832,42064,50199,1486,61313,7.386%,1.38318,3.11,1.39
TOTAL,27581,22668,22720,36888,41216,49971,4,71534,6.577%,15.11680,25.38,15.46
