Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
AUTHENTICATE,1818,404,382,541,602,787,159,1150,0.000%,.50281,0.48,0.52
 GREETING,1300,252,243,296,332,408,190,916,0.000%,.36044,0.52,0.36
 CREDIT,1298,195,181,240,283,356,154,763,0.000%,.35990,0.50,0.37
 WHAT_IS_MY_BALANCE,1291,156,148,176,201,257,122,783,0.000%,.35883,0.41,0.36
 CAPABILITY,1291,179,172,204,241,329,128,816,0.000%,.35883,0.59,0.36
 SHOW_TX,1290,164,156,189,217,282,129,698,0.543%,.36035,0.42,0.37
 FAQ_1,1290,189,183,212,251,344,137,811,0.000%,.36045,0.44,0.37
 FAQ_2,1290,159,148,175,212,364,125,847,0.000%,.36045,0.51,0.37
TOTAL,10868,222,179,372,442,619,122,1150,0.064%,3.00577,3.86,3.06
