Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
AUTHENTICATE,862,13057,4922,21004,21010,132969,1122,188886,38.167%,.47472,0.76,0.29
kbb_cashposition_summary,9469,15531,10751,21004,35910,157325,212,190878,44.503%,5.21654,11.83,3.26
kbb_txinquiry,2183,19517,20254,21007,43586,191336,197,240070,64.132%,1.24855,2.67,0.75
faq,5383,17230,21000,21007,37293,92852,167,190289,52.406%,3.11154,8.49,1.57
TOTAL,17897,16409,14143,21005,37292,154341,167,240070,48.969%,9.82369,23.17,5.76
