Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
AUTHENTICATE,671,378,350,487,557,725,281,1362,0.000%,.25175,0.24,0.26
 GREETING,480,224,213,246,270,389,181,1002,0.000%,.18068,0.26,0.18
 CREDIT,480,207,188,251,281,703,156,931,0.000%,.18070,0.25,0.18
 WHAT_IS_MY_BALANCE,477,166,152,183,216,529,127,1091,0.000%,.17981,0.20,0.18
 CAPABILITY,476,193,177,210,251,559,128,1257,0.000%,.17998,0.30,0.18
 SHOW_TX,476,172,161,188,221,400,137,1047,0.210%,.17998,0.21,0.18
 FAQ_1,475,191,187,212,222,320,142,484,0.000%,.18077,0.22,0.18
 FAQ_2,475,159,153,178,200,261,133,467,0.000%,.18077,0.26,0.18
TOTAL,4010,219,184,346,424,618,127,1362,0.025%,1.50452,1.93,1.53
