timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1616527364447,159,23,200,OK,Kcb_questions 1-1,text,true,,1460,981,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,159,0,0
1616527364606,2404,AUTHENTICATE,200,OK,Kcb_questions 1-1,text,true,,959,970,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/event,2404,0,120
1616527367013,8224,1,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 8,224 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1024,941,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,8224,0,115
1616527375239,4353,2,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 4,353 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1271,926,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,4353,0,131
1616527379594,4429,3,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 4,429 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1024,967,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,4429,0,118
1616527384024,4364,4,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 4,364 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1265,926,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,4364,0,119
1616527388390,4776,5,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 4,776 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1162,963,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,4776,0,154
1616527393168,535,6,200,OK,Kcb_questions 1-1,text,true,,1136,926,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,535,0,112
1616527393705,133,7,200,OK,Kcb_questions 1-1,text,true,,1435,946,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,133,0,0
1616527393840,159,8,200,OK,Kcb_questions 1-1,text,true,,1435,947,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,159,0,0
1616527394001,162,9,200,OK,Kcb_questions 1-1,text,true,,1014,956,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,162,0,0
1616527394164,155,10,200,OK,Kcb_questions 1-1,text,true,,1090,950,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,155,0,0
1616527394321,108,11,200,OK,Kcb_questions 1-1,text,true,,1277,925,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,108,0,0
